id_cliente,Cliente,segmento
1,Cliente 1,Persona
2,Cliente 2,Persona
3,Cliente 3,Empresa
4,Cliente 4,Persona
5,Cliente 5,Empresa
6,Cliente 6,Persona
7,Cliente 7,Empresa
8,Cliente 8,Empresa
9,Cliente 9,Empresa
10,Cliente 10,Empresa
11,Cliente 11,Persona
12,Cliente 12,Persona
13,Cliente 13,Empresa
14,Cliente 14,Persona
15,Cliente 15,Empresa
16,Cliente 16,Empresa
17,Cliente 17,Persona
18,Cliente 18,Persona
19,Cliente 19,Persona
20,Cliente 20,Persona
21,Cliente 21,Empresa
22,Cliente 22,Empresa
23,Cliente 23,Persona
24,Cliente 24,Persona
25,Cliente 25,Persona
26,Cliente 26,Empresa
27,Cliente 27,Empresa
28,Cliente 28,Persona
29,Cliente 29,Persona
30,Cliente 30,Persona
31,Cliente 31,Empresa
32,Cliente 32,Persona
33,Cliente 33,Persona
34,Cliente 34,Empresa
35,Cliente 35,Persona
36,Cliente 36,Persona
37,Cliente 37,Persona
38,Cliente 38,Persona
39,Cliente 39,Persona
40,Cliente 40,Empresa
41,Cliente 41,Persona
42,Cliente 42,Empresa
43,Cliente 43,Persona
44,Cliente 44,Empresa
45,Cliente 45,Empresa
46,Cliente 46,Persona
47,Cliente 47,Persona
48,Cliente 48,Empresa
49,Cliente 49,Persona
50,Cliente 50,Empresa
