id_compra,Fecha,Proveedor,Almacen,Producto,Cantidad,Precio_Compra,Monto
1,2022-12-31,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,4,18000,72000
2,2022-12-31,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,4,16500,66000
3,2022-12-31,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,1,16000,16000
4,2022-12-31,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,6,17500,105000
5,2022-12-31,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,1,15000,15000
6,2022-12-31,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,2,20000,40000
7,2022-12-31,Prov Vehículos,SURCO,CAMIONETA HONDA ELEMENT 2013,1,22500,22500
8,2022-12-31,Prov Vehículos,SURCO,CAMIONETA HONDA CROSSTOUR 2013,4,22000,88000
9,2022-12-31,Prov Vehículos,SURCO,CAMIONETA HONDA CR-Z 2015,3,24000,72000
10,2022-12-31,Prov Vehículos,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,3,24500,73500
11,2022-12-31,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,15,107,1605
12,2022-12-31,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,15,85,1275
13,2022-12-31,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,20,225,4500
14,2022-12-31,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,9,83,747
15,2022-12-31,Prov Repuestos,SURCO,"LLANTAS 18""",9,52,468
16,2022-12-31,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,17,85,1445
17,2022-12-31,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,2,18500,37000
18,2022-12-31,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,2,17500,35000
19,2022-12-31,Prov Vehículos,LA MOLINA,AUTO HONDA PILOT 2013,2,17000,34000
