id,desc,nombre,tipo,media_v,std_v,m_p,std_p,m_t,std_t,m_mv,std_mv
1,AUTO HONDA ACCORD 2014,ACCORD,AUTOS,4,2,17000,2000,2,1,1.5,0.2
2,AUTO HONDA CIVIC 2014,CIVIC,AUTOS,4,2,17000,2000,2,1,1.5,0.2
3,AUTO HONDA ODISSEY 2013,ODISSEY,AUTOS,4,2,17000,2000,2,1,1.5,0.2
4,AUTO HONDA CRV 2014,CRV,AUTOS,4,2,17000,2000,2,1,1.5,0.2
5,AUTO HONDA PILOT 2013,PILOT,AUTOS,4,2,17000,2000,2,1,1.5,0.2
6,AUTO HONDA FIT 2016,FIT,AUTOS,4,2,17000,2000,2,1,1.5,0.2
7,AUTO HONDA CITY 2016,CITY,AUTOS,4,2,17000,2000,2,1,1.5,0.2
8,CAMIONETA HONDA ELEMENT 2013,ELEMENT,CAMIONETAS,3,1,24000,3000,2,1,1.5,0.2
9,CAMIONETA HONDA CROSSTOUR 2013,CROSSTOUR,CAMIONETAS,3,1,24000,3000,2,1,1.5,0.2
10,CAMIONETA HONDA CR-Z 2015,CR-Z,CAMIONETAS,3,1,24000,3000,2,1,1.5,0.2
11,CAMIONETA HONDA RID LINE PICK UP 2014,RID LINE,CAMIONETAS,3,1,24000,3000,2,1,1.5,0.2
38,ACEITE DE MOTOR 5W30,ACEITE,REPUESTOS,100,25,100,10,1,0,1.2,0.1
39,FILTRO DE COMBUSTIBLE,FILTRO,REPUESTOS,10,5,100,10,1,0,1.2,0.1
40,AMORTIGUADORES DEL.,AMORT DEL,REPUESTOS,100,25,220,15,1,0,1.2,0.1
41,AMORTIGUADORES POST.,AMORT POS,REPUESTOS,100,25,90,10,1,0,1.2,0.1
42,"LLANTAS 18""",LLANTAS,REPUESTOS,100,25,60,10,1,0,1.2,0.1
43,BATERÍA DE 18 PLACAS,BATERIA,REPUESTOS,50,10,90,10,1,0,1.2,0.1
