Fecha,Almacen,ID_Prod,Producto,Stock
2023-01-14,SURCO,1,ACCORD,0
2023-01-14,SURCO,2,CIVIC,0
2023-01-14,SURCO,3,ODISSEY,0
2023-01-14,SURCO,4,CRV,0
2023-01-14,SURCO,5,PILOT,0
2023-01-14,SURCO,6,FIT,0
2023-01-14,SURCO,7,CITY,0
2023-01-14,SURCO,8,ELEMENT,0
2023-01-14,SURCO,9,CROSSTOUR,0
2023-01-14,SURCO,10,CR-Z,0
2023-01-14,SURCO,11,RID LINE,0
2023-01-14,SURCO,38,ACEITE,0
2023-01-14,SURCO,39,FILTRO,0
2023-01-14,SURCO,40,AMORT DEL,0
2023-01-14,SURCO,41,AMORT POS,0
2023-01-14,SURCO,42,LLANTAS,0
2023-01-14,SURCO,43,BATERIA,0
2023-01-14,LA MOLINA,1,ACCORD,0
2023-01-14,LA MOLINA,2,CIVIC,0
2023-01-14,LA MOLINA,3,ODISSEY,0
2023-01-14,LA MOLINA,4,CRV,0
2023-01-14,LA MOLINA,5,PILOT,0
2023-01-14,LA MOLINA,6,FIT,0
2023-01-14,LA MOLINA,7,CITY,0
2023-01-14,LA MOLINA,8,ELEMENT,0
2023-01-14,LA MOLINA,9,CROSSTOUR,0
2023-01-14,LA MOLINA,10,CR-Z,0
2023-01-14,LA MOLINA,11,RID LINE,0
2023-01-14,LA MOLINA,38,ACEITE,0
2023-01-14,LA MOLINA,39,FILTRO,35
2023-01-14,LA MOLINA,40,AMORT DEL,0
2023-01-14,LA MOLINA,41,AMORT POS,0
2023-01-14,LA MOLINA,42,LLANTAS,0
2023-01-14,LA MOLINA,43,BATERIA,0
2023-01-31,SURCO,1,ACCORD,2
2023-01-31,SURCO,2,CIVIC,2
2023-01-31,SURCO,3,ODISSEY,2
2023-01-31,SURCO,4,CRV,2
2023-01-31,SURCO,5,PILOT,2
2023-01-31,SURCO,6,FIT,2
2023-01-31,SURCO,7,CITY,2
2023-01-31,SURCO,8,ELEMENT,2
2023-01-31,SURCO,9,CROSSTOUR,2
2023-01-31,SURCO,10,CR-Z,2
2023-01-31,SURCO,11,RID LINE,2
2023-01-31,SURCO,38,ACEITE,0
2023-01-31,SURCO,39,FILTRO,14
2023-01-31,SURCO,40,AMORT DEL,0
2023-01-31,SURCO,41,AMORT POS,0
2023-01-31,SURCO,42,LLANTAS,0
2023-01-31,SURCO,43,BATERIA,0
2023-01-31,LA MOLINA,1,ACCORD,1
2023-01-31,LA MOLINA,2,CIVIC,1
2023-01-31,LA MOLINA,3,ODISSEY,1
2023-01-31,LA MOLINA,4,CRV,1
2023-01-31,LA MOLINA,5,PILOT,1
2023-01-31,LA MOLINA,6,FIT,1
2023-01-31,LA MOLINA,7,CITY,1
2023-01-31,LA MOLINA,8,ELEMENT,1
2023-01-31,LA MOLINA,9,CROSSTOUR,1
2023-01-31,LA MOLINA,10,CR-Z,1
2023-01-31,LA MOLINA,11,RID LINE,1
2023-01-31,LA MOLINA,38,ACEITE,0
2023-01-31,LA MOLINA,39,FILTRO,33
2023-01-31,LA MOLINA,40,AMORT DEL,0
2023-01-31,LA MOLINA,41,AMORT POS,0
2023-01-31,LA MOLINA,42,LLANTAS,0
2023-01-31,LA MOLINA,43,BATERIA,0
2023-02-14,SURCO,1,ACCORD,4
2023-02-14,SURCO,2,CIVIC,4
2023-02-14,SURCO,3,ODISSEY,4
2023-02-14,SURCO,4,CRV,4
2023-02-14,SURCO,5,PILOT,4
2023-02-14,SURCO,6,FIT,4
2023-02-14,SURCO,7,CITY,4
2023-02-14,SURCO,8,ELEMENT,4
2023-02-14,SURCO,9,CROSSTOUR,4
2023-02-14,SURCO,10,CR-Z,4
2023-02-14,SURCO,11,RID LINE,4
2023-02-14,SURCO,38,ACEITE,0
2023-02-14,SURCO,39,FILTRO,13
2023-02-14,SURCO,40,AMORT DEL,0
2023-02-14,SURCO,41,AMORT POS,0
2023-02-14,SURCO,42,LLANTAS,0
2023-02-14,SURCO,43,BATERIA,0
2023-02-14,LA MOLINA,1,ACCORD,2
2023-02-14,LA MOLINA,2,CIVIC,2
2023-02-14,LA MOLINA,3,ODISSEY,2
2023-02-14,LA MOLINA,4,CRV,2
2023-02-14,LA MOLINA,5,PILOT,2
2023-02-14,LA MOLINA,6,FIT,2
2023-02-14,LA MOLINA,7,CITY,2
2023-02-14,LA MOLINA,8,ELEMENT,2
2023-02-14,LA MOLINA,9,CROSSTOUR,2
2023-02-14,LA MOLINA,10,CR-Z,2
2023-02-14,LA MOLINA,11,RID LINE,2
2023-02-14,LA MOLINA,38,ACEITE,0
2023-02-14,LA MOLINA,39,FILTRO,35
2023-02-14,LA MOLINA,40,AMORT DEL,0
2023-02-14,LA MOLINA,41,AMORT POS,0
2023-02-14,LA MOLINA,42,LLANTAS,0
2023-02-14,LA MOLINA,43,BATERIA,0
2023-02-28,SURCO,1,ACCORD,4
2023-02-28,SURCO,2,CIVIC,4
2023-02-28,SURCO,3,ODISSEY,4
2023-02-28,SURCO,4,CRV,4
2023-02-28,SURCO,5,PILOT,4
2023-02-28,SURCO,6,FIT,4
2023-02-28,SURCO,7,CITY,4
2023-02-28,SURCO,8,ELEMENT,4
2023-02-28,SURCO,9,CROSSTOUR,4
2023-02-28,SURCO,10,CR-Z,4
2023-02-28,SURCO,11,RID LINE,4
2023-02-28,SURCO,38,ACEITE,0
2023-02-28,SURCO,39,FILTRO,13
2023-02-28,SURCO,40,AMORT DEL,0
2023-02-28,SURCO,41,AMORT POS,0
2023-02-28,SURCO,42,LLANTAS,0
2023-02-28,SURCO,43,BATERIA,0
2023-02-28,LA MOLINA,1,ACCORD,2
2023-02-28,LA MOLINA,2,CIVIC,2
2023-02-28,LA MOLINA,3,ODISSEY,2
2023-02-28,LA MOLINA,4,CRV,2
2023-02-28,LA MOLINA,5,PILOT,2
2023-02-28,LA MOLINA,6,FIT,2
2023-02-28,LA MOLINA,7,CITY,2
2023-02-28,LA MOLINA,8,ELEMENT,2
2023-02-28,LA MOLINA,9,CROSSTOUR,2
2023-02-28,LA MOLINA,10,CR-Z,2
2023-02-28,LA MOLINA,11,RID LINE,2
2023-02-28,LA MOLINA,38,ACEITE,0
2023-02-28,LA MOLINA,39,FILTRO,28
2023-02-28,LA MOLINA,40,AMORT DEL,0
2023-02-28,LA MOLINA,41,AMORT POS,0
2023-02-28,LA MOLINA,42,LLANTAS,0
2023-02-28,LA MOLINA,43,BATERIA,0
2023-03-14,SURCO,1,ACCORD,4
2023-03-14,SURCO,2,CIVIC,4
2023-03-14,SURCO,3,ODISSEY,4
2023-03-14,SURCO,4,CRV,4
2023-03-14,SURCO,5,PILOT,4
2023-03-14,SURCO,6,FIT,4
2023-03-14,SURCO,7,CITY,4
2023-03-14,SURCO,8,ELEMENT,4
2023-03-14,SURCO,9,CROSSTOUR,4
2023-03-14,SURCO,10,CR-Z,4
2023-03-14,SURCO,11,RID LINE,4
2023-03-14,SURCO,38,ACEITE,0
2023-03-14,SURCO,39,FILTRO,14
2023-03-14,SURCO,40,AMORT DEL,0
2023-03-14,SURCO,41,AMORT POS,0
2023-03-14,SURCO,42,LLANTAS,0
2023-03-14,SURCO,43,BATERIA,0
2023-03-14,LA MOLINA,1,ACCORD,2
2023-03-14,LA MOLINA,2,CIVIC,2
2023-03-14,LA MOLINA,3,ODISSEY,2
2023-03-14,LA MOLINA,4,CRV,2
2023-03-14,LA MOLINA,5,PILOT,2
2023-03-14,LA MOLINA,6,FIT,2
2023-03-14,LA MOLINA,7,CITY,2
2023-03-14,LA MOLINA,8,ELEMENT,2
2023-03-14,LA MOLINA,9,CROSSTOUR,2
2023-03-14,LA MOLINA,10,CR-Z,2
2023-03-14,LA MOLINA,11,RID LINE,2
2023-03-14,LA MOLINA,38,ACEITE,0
2023-03-14,LA MOLINA,39,FILTRO,35
2023-03-14,LA MOLINA,40,AMORT DEL,0
2023-03-14,LA MOLINA,41,AMORT POS,0
2023-03-14,LA MOLINA,42,LLANTAS,0
2023-03-14,LA MOLINA,43,BATERIA,0
2023-03-31,SURCO,1,ACCORD,4
2023-03-31,SURCO,2,CIVIC,4
2023-03-31,SURCO,3,ODISSEY,4
2023-03-31,SURCO,4,CRV,4
2023-03-31,SURCO,5,PILOT,4
2023-03-31,SURCO,6,FIT,4
2023-03-31,SURCO,7,CITY,4
2023-03-31,SURCO,8,ELEMENT,4
2023-03-31,SURCO,9,CROSSTOUR,4
2023-03-31,SURCO,10,CR-Z,4
2023-03-31,SURCO,11,RID LINE,4
2023-03-31,SURCO,38,ACEITE,0
2023-03-31,SURCO,39,FILTRO,0
2023-03-31,SURCO,40,AMORT DEL,0
2023-03-31,SURCO,41,AMORT POS,0
2023-03-31,SURCO,42,LLANTAS,0
2023-03-31,SURCO,43,BATERIA,0
2023-03-31,LA MOLINA,1,ACCORD,2
2023-03-31,LA MOLINA,2,CIVIC,2
2023-03-31,LA MOLINA,3,ODISSEY,2
2023-03-31,LA MOLINA,4,CRV,2
2023-03-31,LA MOLINA,5,PILOT,2
2023-03-31,LA MOLINA,6,FIT,2
2023-03-31,LA MOLINA,7,CITY,2
2023-03-31,LA MOLINA,8,ELEMENT,2
2023-03-31,LA MOLINA,9,CROSSTOUR,2
2023-03-31,LA MOLINA,10,CR-Z,2
2023-03-31,LA MOLINA,11,RID LINE,2
2023-03-31,LA MOLINA,38,ACEITE,0
2023-03-31,LA MOLINA,39,FILTRO,1
2023-03-31,LA MOLINA,40,AMORT DEL,0
2023-03-31,LA MOLINA,41,AMORT POS,0
2023-03-31,LA MOLINA,42,LLANTAS,0
2023-03-31,LA MOLINA,43,BATERIA,5
2023-04-14,SURCO,1,ACCORD,4
2023-04-14,SURCO,2,CIVIC,4
2023-04-14,SURCO,3,ODISSEY,4
2023-04-14,SURCO,4,CRV,4
2023-04-14,SURCO,5,PILOT,4
2023-04-14,SURCO,6,FIT,4
2023-04-14,SURCO,7,CITY,4
2023-04-14,SURCO,8,ELEMENT,4
2023-04-14,SURCO,9,CROSSTOUR,4
2023-04-14,SURCO,10,CR-Z,4
2023-04-14,SURCO,11,RID LINE,4
2023-04-14,SURCO,38,ACEITE,0
2023-04-14,SURCO,39,FILTRO,5
2023-04-14,SURCO,40,AMORT DEL,0
