Fecha,Tipo,Almacen,ID_Producto,Producto,Cantidad_Stock,Entidad,TIPO_PRODUCTO
2023-01-01,Control,SURCO,1,ACCORD,4,,AUTOS
2023-01-01,Control,SURCO,2,CIVIC,4,,AUTOS
2023-01-01,Control,SURCO,3,ODISSEY,1,,AUTOS
2023-01-01,Control,SURCO,4,CRV,6,,AUTOS
2023-01-01,Control,SURCO,5,PILOT,1,,AUTOS
2023-01-01,Control,SURCO,6,FIT,0,,AUTOS
2023-01-01,Control,SURCO,7,CITY,2,,AUTOS
2023-01-01,Control,SURCO,8,ELEMENT,1,,CAMIONETAS
2023-01-01,Control,SURCO,9,CROSSTOUR,4,,CAMIONETAS
2023-01-01,Control,SURCO,10,CR-Z,3,,CAMIONETAS
2023-01-01,Control,SURCO,11,RID LINE,3,,CAMIONETAS
2023-01-01,Control,SURCO,38,ACEITE FS 5W30,15,,REPUESTOS
2023-01-01,Control,SURCO,39,FILTRO COMBUST,15,,REPUESTOS
2023-01-01,Control,SURCO,40,AMORT DEL,20,,REPUESTOS
2023-01-01,Control,SURCO,41,AMORT POS,9,,REPUESTOS
2023-01-01,Control,SURCO,42,"LLANTAS 18""",9,,REPUESTOS
2023-01-01,Control,SURCO,43,BATERÍA 18 PLC,17,,REPUESTOS
2023-01-01,Control,LA MOLINA,1,ACCORD,0,,AUTOS
2023-01-01,Control,LA MOLINA,2,CIVIC,0,,AUTOS
2023-01-01,Control,LA MOLINA,3,ODISSEY,2,,AUTOS
2023-01-01,Control,LA MOLINA,4,CRV,2,,AUTOS
2023-01-01,Control,LA MOLINA,5,PILOT,2,,AUTOS
2023-01-01,Control,LA MOLINA,6,FIT,1,,AUTOS
2023-01-01,Control,LA MOLINA,7,CITY,3,,AUTOS
2023-01-01,Control,LA MOLINA,8,ELEMENT,2,,CAMIONETAS
2023-01-01,Control,LA MOLINA,9,CROSSTOUR,2,,CAMIONETAS
2023-01-01,Control,LA MOLINA,10,CR-Z,2,,CAMIONETAS
2023-01-01,Control,LA MOLINA,11,RID LINE,1,,CAMIONETAS
2023-01-01,Control,LA MOLINA,38,ACEITE FS 5W30,43,,REPUESTOS
2023-01-01,Control,LA MOLINA,39,FILTRO COMBUST,39,,REPUESTOS
2023-01-01,Control,LA MOLINA,40,AMORT DEL,23,,REPUESTOS
2023-01-01,Control,LA MOLINA,41,AMORT POS,37,,REPUESTOS
2023-01-01,Control,LA MOLINA,42,"LLANTAS 18""",36,,REPUESTOS
2023-01-01,Control,LA MOLINA,43,BATERÍA 18 PLC,34,,REPUESTOS
2023-01-01,Salida,SURCO,1,ACCORD,3,Cliente 12,AUTOS
2023-01-01,Salida,SURCO,2,CIVIC,3,Cliente 44,AUTOS
2023-01-01,Salida,LA MOLINA,3,ODISSEY,1,Cliente 8,AUTOS
2023-01-01,Salida,SURCO,4,CRV,5,Cliente 38,AUTOS
2023-01-01,Salida,SURCO,5,PILOT,0,Cliente 40,AUTOS
2023-01-01,Salida,LA MOLINA,6,FIT,0,Cliente 43,AUTOS
2023-01-01,Salida,LA MOLINA,7,CITY,2,Cliente 17,AUTOS
2023-01-01,Salida,LA MOLINA,8,ELEMENT,1,Cliente 16,CAMIONETAS
2023-01-01,Salida,LA MOLINA,9,CROSSTOUR,1,Cliente 9,CAMIONETAS
2023-01-01,Salida,LA MOLINA,10,CR-Z,1,Cliente 21,CAMIONETAS
2023-01-01,Salida,SURCO,11,RID LINE,2,Cliente 30,CAMIONETAS
2023-01-01,Salida,SURCO,38,ACEITE FS 5W30,14,Cliente 35,REPUESTOS
2023-01-01,Salida,LA MOLINA,39,FILTRO COMBUST,38,Cliente 9,REPUESTOS
2023-01-01,Salida,SURCO,40,AMORT DEL,19,Cliente 24,REPUESTOS
2023-01-01,Salida,LA MOLINA,41,AMORT POS,36,Cliente 35,REPUESTOS
2023-01-01,Salida,LA MOLINA,42,"LLANTAS 18""",35,Cliente 43,REPUESTOS
2023-01-01,Salida,SURCO,43,BATERÍA 18 PLC,16,Cliente 17,REPUESTOS
2023-01-02,Salida,SURCO,1,ACCORD,2,Cliente 48,AUTOS
2023-01-02,Salida,SURCO,2,CIVIC,2,Cliente 18,AUTOS
2023-01-02,Salida,SURCO,3,ODISSEY,0,Cliente 46,AUTOS
2023-01-02,Salida,SURCO,4,CRV,4,Cliente 44,AUTOS
2023-01-02,Salida,LA MOLINA,5,PILOT,1,Cliente 17,AUTOS
2023-01-02,Salida,SURCO,8,ELEMENT,0,Cliente 41,CAMIONETAS
2023-01-02,Salida,LA MOLINA,9,CROSSTOUR,0,Cliente 3,CAMIONETAS
2023-01-02,Salida,LA MOLINA,10,CR-Z,0,Cliente 50,CAMIONETAS
2023-01-02,Salida,LA MOLINA,11,RID LINE,0,Cliente 11,CAMIONETAS
2023-01-02,Salida,SURCO,38,ACEITE FS 5W30,10,Cliente 8,REPUESTOS
2023-01-02,Salida,SURCO,39,FILTRO COMBUST,14,Cliente 35,REPUESTOS
2023-01-02,Salida,SURCO,40,AMORT DEL,17,Cliente 28,REPUESTOS
2023-01-02,Salida,LA MOLINA,41,AMORT POS,35,Cliente 24,REPUESTOS
2023-01-02,Salida,SURCO,42,"LLANTAS 18""",7,Cliente 44,REPUESTOS
