id_venta,Fecha,Cliente,Almacen,Producto,Cantidad_Vendida,Precio_Venta,Monto_Venta,Vendedor
1,2023-01-01,Cliente 12,SURCO,AUTO HONDA ACCORD 2014,1,29320.97,29320.97,Vendedor 2
2,2023-01-01,Cliente 44,SURCO,AUTO HONDA CIVIC 2014,1,30018.95,30018.95,Vendedor 4
3,2023-01-01,Cliente 8,LA MOLINA,AUTO HONDA ODISSEY 2013,1,27669.34,27669.34,Vendedor 10
4,2023-01-01,Cliente 38,SURCO,AUTO HONDA CRV 2014,1,27865.93,27865.93,Vendedor 10
5,2023-01-01,Cliente 40,SURCO,AUTO HONDA PILOT 2013,1,16522.93,16522.93,Vendedor 2
6,2023-01-01,Cliente 43,LA MOLINA,AUTO HONDA FIT 2016,1,26076.32,26076.32,Vendedor 10
7,2023-01-01,Cliente 17,LA MOLINA,CAMIONETA HONDA ELEMENT 2013,1,36311.65,36311.65,Vendedor 4
8,2023-01-01,Cliente 16,LA MOLINA,CAMIONETA HONDA CROSSTOUR 2013,1,34051.19,34051.19,Vendedor 5
9,2023-01-01,Cliente 9,LA MOLINA,CAMIONETA HONDA CR-Z 2015,1,31123.81,31123.81,Vendedor 5
10,2023-01-01,Cliente 21,LA MOLINA,CAMIONETA HONDA RID LINE PICK UP 2014,1,37357.99,37357.99,Vendedor 2
11,2023-01-01,Cliente 40,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.07,100.07,Vendedor 10
12,2023-01-01,Cliente 5,SURCO,FILTRO DE COMBUSTIBLE,1,136.62,136.62,Vendedor 9
13,2023-01-01,Cliente 9,LA MOLINA,AMORTIGUADORES DELANTEROS,1,225.68,225.68,Vendedor 6
14,2023-01-01,Cliente 24,SURCO,AMORTIGUADORES POSTERIORES,1,106.98,106.98,Vendedor 5
15,2023-01-01,Cliente 35,LA MOLINA,"LLANTAS 18""",1,78.4,78.4,Vendedor 5
16,2023-01-01,Cliente 43,SURCO,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 9
17,2023-01-02,Cliente 43,SURCO,AUTO HONDA ACCORD 2014,1,29320.97,29320.97,Vendedor 2
18,2023-01-02,Cliente 17,SURCO,AUTO HONDA CIVIC 2014,1,30018.95,30018.95,Vendedor 2
19,2023-01-02,Cliente 48,SURCO,AUTO HONDA ODISSEY 2013,1,27669.34,27669.34,Vendedor 9
20,2023-01-02,Cliente 18,SURCO,AUTO HONDA CRV 2014,1,27865.93,27865.93,Vendedor 5
21,2023-01-02,Cliente 46,LA MOLINA,AUTO HONDA PILOT 2013,1,16522.93,16522.93,Vendedor 6
22,2023-01-02,Cliente 44,SURCO,CAMIONETA HONDA ELEMENT 2013,1,36311.65,36311.65,Vendedor 5
23,2023-01-02,Cliente 17,LA MOLINA,CAMIONETA HONDA CR-Z 2015,1,31123.81,31123.81,Vendedor 1
24,2023-01-02,Cliente 41,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,1,37357.99,37357.99,Vendedor 7
