id_venta,Fecha,Cliente,Almacen,Producto,Cantidad_Vendida,Precio_Venta,Monto_Venta,Vendedor,TIPO_PRODUCTO
1,2023-01-01,Cliente 12,SURCO,AUTO HONDA ACCORD 2014,1,29500.0,29500.0,Vendedor 2,AUTOS
2,2023-01-01,Cliente 44,SURCO,AUTO HONDA CIVIC 2014,1,30000.0,30000.0,Vendedor 4,AUTOS
3,2023-01-01,Cliente 8,LA MOLINA,AUTO HONDA ODISSEY 2013,1,27500.0,27500.0,Vendedor 10,AUTOS
4,2023-01-01,Cliente 38,SURCO,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 10,AUTOS
5,2023-01-01,Cliente 40,SURCO,AUTO HONDA PILOT 2013,1,16500.0,16500.0,Vendedor 2,AUTOS
6,2023-01-01,Cliente 43,LA MOLINA,AUTO HONDA FIT 2016,1,26000.0,26000.0,Vendedor 10,AUTOS
7,2023-01-01,Cliente 17,LA MOLINA,AUTO HONDA CITY 2016,1,29500.0,29500.0,Vendedor 4,AUTOS
8,2023-01-01,Cliente 16,LA MOLINA,CAMIONETA HONDA ELEMENT 2013,1,36000.0,36000.0,Vendedor 5,CAMIONETAS
9,2023-01-01,Cliente 9,LA MOLINA,CAMIONETA HONDA CROSSTOUR 2013,1,34000.0,34000.0,Vendedor 5,CAMIONETAS
10,2023-01-01,Cliente 21,LA MOLINA,CAMIONETA HONDA CR-Z 2015,1,31500.0,31500.0,Vendedor 2,CAMIONETAS
11,2023-01-01,Cliente 30,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,1,37500.0,37500.0,Vendedor 10,CAMIONETAS
12,2023-01-01,Cliente 35,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.3,100.3,Vendedor 4,REPUESTOS
13,2023-01-01,Cliente 9,LA MOLINA,FILTRO DE COMBUSTIBLE,1,136.1,136.1,Vendedor 6,REPUESTOS
14,2023-01-01,Cliente 24,SURCO,AMORTIGUADORES DELANTEROS,1,225.8,225.8,Vendedor 5,REPUESTOS
15,2023-01-01,Cliente 35,LA MOLINA,AMORTIGUADORES POSTERIORES,1,107.4,107.4,Vendedor 5,REPUESTOS
16,2023-01-01,Cliente 43,LA MOLINA,"LLANTAS 18""",1,78.9,78.9,Vendedor 2,REPUESTOS
17,2023-01-01,Cliente 17,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 2,REPUESTOS
18,2023-01-02,Cliente 48,SURCO,AUTO HONDA ACCORD 2014,1,29500.0,29500.0,Vendedor 9,AUTOS
19,2023-01-02,Cliente 18,SURCO,AUTO HONDA CIVIC 2014,1,30000.0,30000.0,Vendedor 5,AUTOS
20,2023-01-02,Cliente 46,SURCO,AUTO HONDA ODISSEY 2013,1,27500.0,27500.0,Vendedor 6,AUTOS
21,2023-01-02,Cliente 44,SURCO,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 5,AUTOS
22,2023-01-02,Cliente 17,LA MOLINA,AUTO HONDA PILOT 2013,1,16500.0,16500.0,Vendedor 1,AUTOS
23,2023-01-02,Cliente 41,SURCO,CAMIONETA HONDA ELEMENT 2013,1,36000.0,36000.0,Vendedor 7,CAMIONETAS
24,2023-01-02,Cliente 3,LA MOLINA,CAMIONETA HONDA CROSSTOUR 2013,1,34000.0,34000.0,Vendedor 1,CAMIONETAS
25,2023-01-02,Cliente 50,LA MOLINA,CAMIONETA HONDA CR-Z 2015,1,31500.0,31500.0,Vendedor 3,CAMIONETAS
26,2023-01-02,Cliente 11,LA MOLINA,CAMIONETA HONDA RID LINE PICK UP 2014,1,37500.0,37500.0,Vendedor 8,CAMIONETAS
27,2023-01-02,Cliente 8,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.3,401.2,Vendedor 2,REPUESTOS
28,2023-01-02,Cliente 35,SURCO,FILTRO DE COMBUSTIBLE,1,136.1,136.1,Vendedor 1,REPUESTOS
29,2023-01-02,Cliente 28,SURCO,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 3,REPUESTOS
30,2023-01-02,Cliente 24,LA MOLINA,AMORTIGUADORES POSTERIORES,1,107.4,107.4,Vendedor 1,REPUESTOS
31,2023-01-02,Cliente 44,SURCO,"LLANTAS 18""",2,78.9,157.8,Vendedor 4,REPUESTOS
32,2023-01-02,Cliente 23,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 9,REPUESTOS
33,2023-01-03,Cliente 40,SURCO,AUTO HONDA ACCORD 2014,1,29500.0,29500.0,Vendedor 3,AUTOS
34,2023-01-03,Cliente 11,SURCO,AUTO HONDA CIVIC 2014,1,30000.0,30000.0,Vendedor 3,AUTOS
35,2023-01-03,Cliente 2,LA MOLINA,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 3,AUTOS
36,2023-01-03,Cliente 27,LA MOLINA,AUTO HONDA PILOT 2013,1,16500.0,16500.0,Vendedor 4,AUTOS
37,2023-01-03,Cliente 11,LA MOLINA,CAMIONETA HONDA ELEMENT 2013,1,36000.0,36000.0,Vendedor 2,CAMIONETAS
38,2023-01-03,Cliente 3,SURCO,CAMIONETA HONDA CR-Z 2015,1,31500.0,31500.0,Vendedor 8,CAMIONETAS
39,2023-01-03,Cliente 30,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,100.3,200.6,Vendedor 6,REPUESTOS
40,2023-01-03,Cliente 15,LA MOLINA,FILTRO DE COMBUSTIBLE,1,136.1,136.1,Vendedor 4,REPUESTOS
41,2023-01-03,Cliente 26,SURCO,AMORTIGUADORES DELANTEROS,1,225.8,225.8,Vendedor 6,REPUESTOS
42,2023-01-03,Cliente 50,SURCO,AMORTIGUADORES POSTERIORES,3,107.4,322.2,Vendedor 5,REPUESTOS
43,2023-01-03,Cliente 44,LA MOLINA,"LLANTAS 18""",2,78.9,157.8,Vendedor 9,REPUESTOS
44,2023-01-03,Cliente 2,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 2,REPUESTOS
45,2023-01-04,Cliente 12,SURCO,AUTO HONDA ACCORD 2014,1,29500.0,29500.0,Vendedor 10,AUTOS
46,2023-01-04,Cliente 3,SURCO,AUTO HONDA CIVIC 2014,1,30000.0,30000.0,Vendedor 2,AUTOS
47,2023-01-04,Cliente 47,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.3,401.2,Vendedor 6,REPUESTOS
48,2023-01-04,Cliente 39,LA MOLINA,FILTRO DE COMBUSTIBLE,1,136.1,136.1,Vendedor 9,REPUESTOS
49,2023-01-04,Cliente 37,LA MOLINA,AMORTIGUADORES DELANTEROS,1,225.8,225.8,Vendedor 4,REPUESTOS
50,2023-01-04,Cliente 46,SURCO,AMORTIGUADORES POSTERIORES,3,107.4,322.2,Vendedor 7,REPUESTOS
51,2023-01-04,Cliente 24,SURCO,"LLANTAS 18""",1,78.9,78.9,Vendedor 7,REPUESTOS
52,2023-01-04,Cliente 43,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 6,REPUESTOS
53,2023-01-05,Cliente 47,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.3,300.9,Vendedor 5,REPUESTOS
54,2023-01-05,Cliente 43,LA MOLINA,FILTRO DE COMBUSTIBLE,1,136.1,136.1,Vendedor 7,REPUESTOS
55,2023-01-05,Cliente 45,LA MOLINA,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 5,REPUESTOS
56,2023-01-05,Cliente 27,SURCO,AMORTIGUADORES POSTERIORES,2,107.4,214.8,Vendedor 7,REPUESTOS
57,2023-01-05,Cliente 26,LA MOLINA,"LLANTAS 18""",1,78.9,78.9,Vendedor 9,REPUESTOS
58,2023-01-05,Cliente 20,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 5,REPUESTOS
59,2023-01-06,Cliente 38,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,100.3,200.6,Vendedor 10,REPUESTOS
60,2023-01-06,Cliente 30,LA MOLINA,FILTRO DE COMBUSTIBLE,1,136.1,136.1,Vendedor 8,REPUESTOS
61,2023-01-06,Cliente 33,SURCO,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 8,REPUESTOS
62,2023-01-06,Cliente 19,SURCO,AMORTIGUADORES POSTERIORES,1,107.4,107.4,Vendedor 9,REPUESTOS
63,2023-01-06,Cliente 49,SURCO,"LLANTAS 18""",2,78.9,157.8,Vendedor 4,REPUESTOS
64,2023-01-06,Cliente 15,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 4,REPUESTOS
65,2023-01-07,Cliente 3,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,100.3,200.6,Vendedor 4,REPUESTOS
66,2023-01-07,Cliente 30,SURCO,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 7,REPUESTOS
