id_compra,fecha,id_proveedor,proveedor,id_almacen,almacen,id_producto,producto,cantidad,precio_compra,monto
1,2022-12-01,1,Prov Vehículos,1,SURCO,1,AUTO HONDA ACCORD 2014,4,23400,93600
2,2022-12-01,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,10,18850,188500
3,2022-12-01,1,Prov Vehículos,1,SURCO,4,AUTO HONDA CRV 2014,9,23400,210600
4,2022-12-01,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,9,18850,169650
5,2022-12-01,1,Prov Vehículos,1,SURCO,6,AUTO HONDA FIT 2016,10,21450,214500
6,2022-12-01,1,Prov Vehículos,1,SURCO,7,AUTO HONDA CITY 2016,5,26000,130000
7,2022-12-01,1,Prov Vehículos,1,SURCO,8,CAMIONETA HONDA ELEMENT 2013,5,33800,169000
8,2022-12-01,1,Prov Vehículos,1,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,6,37050,222300
9,2022-12-01,1,Prov Vehículos,1,SURCO,10,CAMIONETA HONDA CR-Z 2015,6,29900,179400
10,2022-12-01,1,Prov Vehículos,1,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,5,40950,204750
11,2022-12-01,2,Prov Repuestos,2,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178,96,17088
12,2022-12-01,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,22,92,2024
13,2022-12-01,2,Prov Repuestos,2,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134,96,12864
14,2022-12-01,2,Prov Repuestos,2,LA MOLINA,42,"LLANTAS 18""",119,46,5474
15,2022-12-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,75,90,6750
16,2022-12-01,1,Prov Vehículos,1,SURCO,1,AUTO HONDA ACCORD 2014,11,23400,257400
17,2022-12-01,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,2,18850,37700
18,2022-12-01,1,Prov Vehículos,1,SURCO,3,AUTO HONDA ODISSEY 2013,10,26000,260000
19,2022-12-01,1,Prov Vehículos,1,SURCO,4,AUTO HONDA CRV 2014,3,23400,70200
20,2022-12-01,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,13,18850,245050
21,2022-12-01,1,Prov Vehículos,1,SURCO,7,AUTO HONDA CITY 2016,9,26000,234000
22,2022-12-01,1,Prov Vehículos,1,SURCO,8,CAMIONETA HONDA ELEMENT 2013,5,33800,169000
23,2022-12-01,1,Prov Vehículos,1,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,7,37050,259350
24,2022-12-01,1,Prov Vehículos,1,SURCO,10,CAMIONETA HONDA CR-Z 2015,2,29900,59800
25,2022-12-01,1,Prov Vehículos,1,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,9,40950,368550
26,2022-12-01,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,16,92,1472
27,2022-12-01,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126,241,30366
28,2022-12-01,2,Prov Repuestos,2,LA MOLINA,42,"LLANTAS 18""",166,46,7636
29,2022-12-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,61,90,5490
30,2022-12-15,1,Prov Vehículos,1,SURCO,1,AUTO HONDA ACCORD 2014,9,23400,210600
31,2022-12-15,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,7,18850,131950
32,2022-12-15,1,Prov Vehículos,1,SURCO,3,AUTO HONDA ODISSEY 2013,7,26000,182000
33,2022-12-15,1,Prov Vehículos,1,SURCO,4,AUTO HONDA CRV 2014,9,23400,210600
34,2022-12-15,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,7,18850,131950
35,2022-12-15,1,Prov Vehículos,1,SURCO,6,AUTO HONDA FIT 2016,10,21450,214500
36,2022-12-15,1,Prov Vehículos,1,SURCO,7,AUTO HONDA CITY 2016,13,26000,338000
37,2022-12-15,1,Prov Vehículos,1,SURCO,8,CAMIONETA HONDA ELEMENT 2013,7,33800,236600
38,2022-12-15,1,Prov Vehículos,1,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,2,37050,74100
39,2022-12-15,1,Prov Vehículos,1,SURCO,10,CAMIONETA HONDA CR-Z 2015,5,29900,149500
40,2022-12-15,1,Prov Vehículos,1,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,2,40950,81900
41,2023-01-01,1,Prov Vehículos,2,LA MOLINA,3,AUTO HONDA ODISSEY 2013,3,26000,78000
42,2023-03-15,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,1,25000,25000
43,2023-03-15,2,Prov Repuestos,2,LA MOLINA,43,BATERÍA DE 18 PLACAS,9,104,936
44,2023-04-01,1,Prov Vehículos,2,LA MOLINA,6,AUTO HONDA FIT 2016,1,19500,19500
