Fecha,Tipo,Almacen,ID_Producto,Producto,Cantidad_Stock
2022-12-04,Entrada,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-04,Entrada,SURCO,39,FILTRO DE COMBUSTIBLE,22
2022-12-04,Entrada,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-04,Entrada,LA MOLINA,42,"LLANTAS 18""",119
2022-12-04,Entrada,SURCO,43,BATERÍA DE 18 PLACAS,75
2022-12-04,Entrada,SURCO,39,FILTRO DE COMBUSTIBLE,16
2022-12-04,Entrada,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-04,Entrada,LA MOLINA,42,"LLANTAS 18""",166
2022-12-04,Entrada,SURCO,43,BATERÍA DE 18 PLACAS,61
2022-12-04,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-04,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-04,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-04,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-04,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-04,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-05,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-05,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-05,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-05,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-05,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-05,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-06,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-06,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-06,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-06,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-06,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-06,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
