id_producto,producto,mes,precio_compra,precio_venta
1,AUTO HONDA ACCORD 2014,2022-12-01,23400,32412
1,AUTO HONDA ACCORD 2014,2023-01-01,23400,35894
1,AUTO HONDA ACCORD 2014,2023-02-01,18000,26157
1,AUTO HONDA ACCORD 2014,2023-03-01,16500,27283
1,AUTO HONDA ACCORD 2014,2023-04-01,16500,23201
1,AUTO HONDA ACCORD 2014,2023-05-01,16500,26540
1,AUTO HONDA ACCORD 2014,2023-06-01,16500,23221
1,AUTO HONDA ACCORD 2014,2023-07-01,19800,25070
1,AUTO HONDA ACCORD 2014,2023-08-01,21000,21830
1,AUTO HONDA ACCORD 2014,2023-09-01,17500,24282
1,AUTO HONDA ACCORD 2014,2023-10-01,15000,19776
1,AUTO HONDA ACCORD 2014,2023-11-01,18000,19724
1,AUTO HONDA ACCORD 2014,2023-12-01,19500,29721
1,AUTO HONDA ACCORD 2014,2024-01-01,21450,22153
1,AUTO HONDA ACCORD 2014,2024-02-01,16500,22954
1,AUTO HONDA ACCORD 2014,2024-03-01,16500,25116
1,AUTO HONDA ACCORD 2014,2024-04-01,14500,20008
1,AUTO HONDA ACCORD 2014,2024-05-01,14500,20904
1,AUTO HONDA ACCORD 2014,2024-06-01,14500,20005
1,AUTO HONDA ACCORD 2014,2024-07-01,24600,28526
1,AUTO HONDA ACCORD 2014,2024-08-01,24600,36852
1,AUTO HONDA ACCORD 2014,2024-09-01,20500,25745
1,AUTO HONDA ACCORD 2014,2024-10-01,17500,21601
1,AUTO HONDA ACCORD 2014,2024-11-01,21000,29094
1,AUTO HONDA ACCORD 2014,2024-12-01,24050,30191
1,AUTO HONDA ACCORD 2014,2025-01-01,24050,29433
1,AUTO HONDA ACCORD 2014,2025-02-01,18500,22279
1,AUTO HONDA ACCORD 2014,2025-03-01,15500,26527
1,AUTO HONDA ACCORD 2014,2025-04-01,15500,24315
1,AUTO HONDA ACCORD 2014,2025-05-01,15500,17785
1,AUTO HONDA ACCORD 2014,2025-06-01,17500,23881
1,AUTO HONDA ACCORD 2014,2025-07-01,21000,30662
1,AUTO HONDA ACCORD 2014,2025-08-01,21000,32247
1,AUTO HONDA ACCORD 2014,2025-09-01,19000,27325
1,AUTO HONDA ACCORD 2014,2025-10-01,19000,29759
1,AUTO HONDA ACCORD 2014,2025-11-01,22800,30018
1,AUTO HONDA ACCORD 2014,2025-12-01,24700,26847
2,AUTO HONDA CIVIC 2014,2022-12-01,18850,28380
2,AUTO HONDA CIVIC 2014,2023-01-01,18850,23803
2,AUTO HONDA CIVIC 2014,2023-02-01,14500,24660
2,AUTO HONDA CIVIC 2014,2023-03-01,14500,22799
2,AUTO HONDA CIVIC 2014,2023-04-01,15500,28018
2,AUTO HONDA CIVIC 2014,2023-05-01,15500,23139
2,AUTO HONDA CIVIC 2014,2023-06-01,15500,28100
2,AUTO HONDA CIVIC 2014,2023-07-01,14400,19666
2,AUTO HONDA CIVIC 2014,2023-08-01,14400,18665
2,AUTO HONDA CIVIC 2014,2023-09-01,12000,18220
