REPORTE DE LIMPIEZA DE DATOS
========================================
Venta 1: sin registro de stock previo, se elimina.
Venta 2: sin registro de stock previo, se elimina.
Venta 3: sin registro de stock previo, se elimina.
Venta 4: sin registro de stock previo, se elimina.
Venta 5: sin registro de stock previo, se elimina.
Venta 6: sin registro de stock previo, se elimina.
Venta 7: sin registro de stock previo, se elimina.
Venta 8: sin registro de stock previo, se elimina.
Venta 9: sin registro de stock previo, se elimina.
Venta 10: sin registro de stock previo, se elimina.
Venta 11: sin registro de stock previo, se elimina.
Venta 12: sin registro de stock previo, se elimina.
Venta 13: sin registro de stock previo, se elimina.
Venta 14: sin registro de stock previo, se elimina.
Venta 15: sin registro de stock previo, se elimina.
Venta 16: sin registro de stock previo, se elimina.
Venta 17: sin registro de stock previo, se elimina.
Venta 18: sin registro de stock previo, se elimina.
Venta 19: sin registro de stock previo, se elimina.
Venta 20: sin registro de stock previo, se elimina.
Venta 21: sin registro de stock previo, se elimina.
Venta 22: sin registro de stock previo, se elimina.
Venta 23: sin registro de stock previo, se elimina.
Venta 24: sin registro de stock previo, se elimina.
Venta 25: sin registro de stock previo, se elimina.
Venta 26: sin registro de stock previo, se elimina.
Venta 27: sin registro de stock previo, se elimina.
Venta 28: sin registro de stock previo, se elimina.
Venta 29: sin registro de stock previo, se elimina.
Venta 30: sin registro de stock previo, se elimina.
Venta 31: sin registro de stock previo, se elimina.
Venta 32: sin registro de stock previo, se elimina.
Venta 33: sin registro de stock previo, se elimina.
Venta 34: sin registro de stock previo, se elimina.
Venta 35: sin registro de stock previo, se elimina.
Venta 36: sin registro de stock previo, se elimina.
Venta 37: sin registro de stock previo, se elimina.
Venta 38: sin registro de stock previo, se elimina.
Venta 39: sin registro de stock previo, se elimina.
Venta 40: sin registro de stock previo, se elimina.
Venta 41: sin registro de stock previo, se elimina.
Venta 42: sin registro de stock previo, se elimina.
Venta 43: sin registro de stock previo, se elimina.
Venta 44: sin registro de stock previo, se elimina.
Venta 45: sin registro de stock previo, se elimina.
Venta 46: sin registro de stock previo, se elimina.
Venta 47: sin registro de stock previo, se elimina.
Venta 48: sin registro de stock previo, se elimina.
Venta 49: sin registro de stock previo, se elimina.
Venta 50: sin registro de stock previo, se elimina.
Venta 51: sin registro de stock previo, se elimina.
Venta 52: sin registro de stock previo, se elimina.
Venta 53: sin registro de stock previo, se elimina.
Venta 54: sin registro de stock previo, se elimina.
Venta 55: sin registro de stock previo, se elimina.
Venta 56: sin registro de stock previo, se elimina.
Venta 57: sin registro de stock previo, se elimina.
Venta 58: sin registro de stock previo, se elimina.
Venta 59: sin registro de stock previo, se elimina.
Venta 60: sin registro de stock previo, se elimina.
Venta 61: sin registro de stock previo, se elimina.
Venta 62: sin registro de stock previo, se elimina.
Venta 63: sin registro de stock previo, se elimina.
Venta 64: sin registro de stock previo, se elimina.
