id_compra,Fecha,Proveedor,Almacen,Producto,Cantidad,Precio_Compra,Monto
1,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,4,18000,72000
2,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,4,16500,66000
3,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,1,16000,16000
4,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,6,17500,105000
5,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,1,15000,15000
6,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,2,20000,40000
7,2022-12-07,Prov Vehículos,SURCO,CAMIONETA HONDA ELEMENT 2013,1,22500,22500
8,2022-12-07,Prov Vehículos,SURCO,CAMIONETA HONDA CROSSTOUR 2013,4,22000,88000
9,2022-12-07,Prov Vehículos,SURCO,CAMIONETA HONDA CR-Z 2015,3,24000,72000
10,2022-12-07,Prov Vehículos,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,3,24500,73500
11,2022-12-30,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,15,107,1605
12,2022-12-30,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,15,85,1275
13,2022-12-30,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,20,225,4500
14,2022-12-30,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,9,83,747
15,2022-12-30,Prov Repuestos,SURCO,"LLANTAS 18""",9,52,468
16,2022-12-30,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,17,85,1445
17,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,2,18500,37000
18,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,2,17500,35000
19,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA PILOT 2013,2,17000,34000
20,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA FIT 2016,1,17000,17000
21,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA CITY 2016,3,16500,49500
22,2022-12-07,Prov Vehículos,LA MOLINA,CAMIONETA HONDA ELEMENT 2013,2,21500,43000
23,2022-12-07,Prov Vehículos,LA MOLINA,CAMIONETA HONDA CROSSTOUR 2013,2,22500,45000
24,2022-12-07,Prov Vehículos,LA MOLINA,CAMIONETA HONDA CR-Z 2015,2,22000,44000
25,2022-12-07,Prov Vehículos,LA MOLINA,CAMIONETA HONDA RID LINE PICK UP 2014,1,25000,25000
26,2022-12-30,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,43,86,3698
27,2022-12-30,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,39,98,3822
28,2022-12-30,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,23,224,5152
29,2022-12-30,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,37,91,3367
30,2022-12-30,Prov Repuestos,LA MOLINA,"LLANTAS 18""",36,60,2160
31,2022-12-30,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,34,98,3332
32,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,5,18000,90000
33,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,5,16500,82500
34,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,5,18500,92500
35,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,1,17500,17500
36,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,5,17000,85000
37,2023-01-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,86,860
38,2023-01-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,7,224,1568
39,2023-01-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,91,910
40,2023-01-15,Prov Repuestos,SURCO,"LLANTAS 18""",8,60,480
41,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,5,18000,90000
42,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,5,16500,82500
43,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,4,18500,74000
44,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,2,17500,35000
45,2023-01-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,22,224,4928
46,2023-01-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",74,60,4440
47,2023-02-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,92,920
48,2023-02-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,242,2420
49,2023-02-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,81,810
50,2023-02-01,Prov Repuestos,SURCO,"LLANTAS 18""",10,67,670
51,2023-02-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,75,375
52,2023-02-01,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,92,920
53,2023-02-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,242,2420
54,2023-02-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,81,810
55,2023-02-01,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,1,75,75
56,2023-02-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,26,92,2392
57,2023-02-01,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,81,75,6075
58,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,4,19500,78000
59,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,4,18500,74000
60,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,1,18500,18500
61,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,4,17500,70000
62,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,5,17000,85000
63,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA FIT 2016,5,14500,72500
64,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,3,16500,49500
65,2023-02-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,92,184
66,2023-02-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,242,2420
67,2023-02-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,81,810
68,2023-02-15,Prov Repuestos,SURCO,"LLANTAS 18""",10,67,670
69,2023-02-15,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,75,375
70,2023-02-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,1,18500,18500
71,2023-02-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,3,17500,52500
72,2023-02-15,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,92,920
73,2023-02-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,242,2420
74,2023-02-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,81,810
75,2023-02-15,Prov Repuestos,SURCO,"LLANTAS 18""",31,67,2077
76,2023-02-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",55,67,3685
77,2023-03-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,105,1050
78,2023-03-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,201,2010
79,2023-03-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,75,750
80,2023-03-01,Prov Repuestos,SURCO,"LLANTAS 18""",5,64,320
81,2023-03-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,58,290
82,2023-03-01,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,105,1050
83,2023-03-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,201,2010
84,2023-03-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,75,750
85,2023-03-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,38,201,7638
86,2023-03-01,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,69,95,6555
87,2023-03-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,2,16500,33000
88,2023-03-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,1,16000,16000
