id_compra,Fecha,Proveedor,Almacen,Producto,Cantidad,Precio_Compra,Monto,TIPO_PRODUCTO
1,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,4,18000,72000,AUTOS
2,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,4,16500,66000,AUTOS
3,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,1,16000,16000,AUTOS
4,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,6,17500,105000,AUTOS
5,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,1,15000,15000,AUTOS
6,2022-12-07,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,2,20000,40000,AUTOS
7,2022-12-07,Prov Vehículos,SURCO,CAMIONETA HONDA ELEMENT 2013,1,22500,22500,CAMIONETAS
8,2022-12-07,Prov Vehículos,SURCO,CAMIONETA HONDA CROSSTOUR 2013,4,22000,88000,CAMIONETAS
9,2022-12-07,Prov Vehículos,SURCO,CAMIONETA HONDA CR-Z 2015,3,24000,72000,CAMIONETAS
10,2022-12-07,Prov Vehículos,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,3,24500,73500,CAMIONETAS
11,2022-12-30,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,15,107,1605,REPUESTOS
12,2022-12-30,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,15,85,1275,REPUESTOS
13,2022-12-30,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,20,225,4500,REPUESTOS
14,2022-12-30,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,9,83,747,REPUESTOS
15,2022-12-30,Prov Repuestos,SURCO,"LLANTAS 18""",9,52,468,REPUESTOS
16,2022-12-30,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,17,85,1445,REPUESTOS
17,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,2,18500,37000,AUTOS
18,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,2,17500,35000,AUTOS
19,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA PILOT 2013,2,17000,34000,AUTOS
20,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA FIT 2016,1,17000,17000,AUTOS
21,2022-12-07,Prov Vehículos,LA MOLINA,AUTO HONDA CITY 2016,3,16500,49500,AUTOS
22,2022-12-07,Prov Vehículos,LA MOLINA,CAMIONETA HONDA ELEMENT 2013,2,21500,43000,CAMIONETAS
23,2022-12-07,Prov Vehículos,LA MOLINA,CAMIONETA HONDA CROSSTOUR 2013,2,22500,45000,CAMIONETAS
24,2022-12-07,Prov Vehículos,LA MOLINA,CAMIONETA HONDA CR-Z 2015,2,22000,44000,CAMIONETAS
25,2022-12-07,Prov Vehículos,LA MOLINA,CAMIONETA HONDA RID LINE PICK UP 2014,1,25000,25000,CAMIONETAS
26,2022-12-30,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,43,86,3698,REPUESTOS
27,2022-12-30,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,39,98,3822,REPUESTOS
28,2022-12-30,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,23,224,5152,REPUESTOS
29,2022-12-30,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,37,91,3367,REPUESTOS
30,2022-12-30,Prov Repuestos,LA MOLINA,"LLANTAS 18""",36,60,2160,REPUESTOS
31,2022-12-30,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,34,98,3332,REPUESTOS
32,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,5,18000,90000,AUTOS
33,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,5,16500,82500,AUTOS
34,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,5,18500,92500,AUTOS
35,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,1,17500,17500,AUTOS
36,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,5,17000,85000,AUTOS
37,2023-01-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,86,860,REPUESTOS
38,2023-01-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,7,224,1568,REPUESTOS
39,2023-01-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,91,910,REPUESTOS
40,2023-01-15,Prov Repuestos,SURCO,"LLANTAS 18""",8,60,480,REPUESTOS
41,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,5,18000,90000,AUTOS
42,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,5,16500,82500,AUTOS
43,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,4,18500,74000,AUTOS
44,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,2,17500,35000,AUTOS
45,2023-01-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,22,224,4928,REPUESTOS
46,2023-01-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",74,60,4440,REPUESTOS
47,2023-02-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,92,920,REPUESTOS
