Fecha,Tipo,Almacen,ID_Producto,Producto,Cantidad_Stock,Entidad,TIPO_PRODUCTO
2023-01-01,Entrada,SURCO,1,ACCORD,4,Prov Vehículos,AUTOS
2023-01-01,Entrada,SURCO,2,CIVIC,4,Prov Vehículos,AUTOS
2023-01-01,Entrada,SURCO,3,ODISSEY,1,Prov Vehículos,AUTOS
2023-01-01,Entrada,SURCO,4,CRV,6,Prov Vehículos,AUTOS
2023-01-01,Entrada,SURCO,5,PILOT,1,Prov Vehículos,AUTOS
2023-01-01,Entrada,SURCO,7,CITY,2,Prov Vehículos,AUTOS
2023-01-01,Entrada,SURCO,8,ELEMENT,1,Prov Vehículos,CAMIONETAS
2023-01-01,Entrada,SURCO,9,CROSSTOUR,4,Prov Vehículos,CAMIONETAS
2023-01-01,Entrada,SURCO,10,CR-Z,3,Prov Vehículos,CAMIONETAS
2023-01-01,Entrada,SURCO,11,RID LINE,3,Prov Vehículos,CAMIONETAS
2023-01-01,Entrada,SURCO,38,ACEITE FS 5W30,15,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,SURCO,39,FILTRO COMBUST,15,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,SURCO,40,AMORT DEL,20,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,SURCO,41,AMORT POS,9,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,SURCO,42,"LLANTAS 18""",9,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,SURCO,43,BATERÍA 18 PLC,17,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,LA MOLINA,3,ODISSEY,2,Prov Vehículos,AUTOS
2023-01-01,Entrada,LA MOLINA,4,CRV,2,Prov Vehículos,AUTOS
2023-01-01,Entrada,LA MOLINA,5,PILOT,2,Prov Vehículos,AUTOS
2023-01-01,Entrada,LA MOLINA,6,FIT,1,Prov Vehículos,AUTOS
2023-01-01,Entrada,LA MOLINA,7,CITY,3,Prov Vehículos,AUTOS
2023-01-01,Entrada,LA MOLINA,8,ELEMENT,2,Prov Vehículos,CAMIONETAS
2023-01-01,Entrada,LA MOLINA,9,CROSSTOUR,2,Prov Vehículos,CAMIONETAS
2023-01-01,Entrada,LA MOLINA,10,CR-Z,2,Prov Vehículos,CAMIONETAS
2023-01-01,Entrada,LA MOLINA,11,RID LINE,1,Prov Vehículos,CAMIONETAS
2023-01-01,Entrada,LA MOLINA,38,ACEITE FS 5W30,43,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,LA MOLINA,39,FILTRO COMBUST,39,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,LA MOLINA,40,AMORT DEL,23,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,LA MOLINA,41,AMORT POS,37,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,LA MOLINA,42,"LLANTAS 18""",36,Prov Repuestos,REPUESTOS
2023-01-01,Entrada,LA MOLINA,43,BATERÍA 18 PLC,34,Prov Repuestos,REPUESTOS
2023-01-01,Salida,SURCO,1,ACCORD,1,Cliente 12,AUTOS
2023-01-01,Salida,SURCO,2,CIVIC,1,Cliente 44,AUTOS
2023-01-01,Salida,LA MOLINA,3,ODISSEY,1,Cliente 8,AUTOS
2023-01-01,Salida,SURCO,4,CRV,1,Cliente 38,AUTOS
2023-01-01,Salida,SURCO,5,PILOT,1,Cliente 40,AUTOS
2023-01-01,Salida,LA MOLINA,6,FIT,1,Cliente 43,AUTOS
2023-01-01,Salida,LA MOLINA,7,CITY,1,Cliente 17,AUTOS
2023-01-01,Salida,LA MOLINA,8,ELEMENT,1,Cliente 16,CAMIONETAS
2023-01-01,Salida,LA MOLINA,9,CROSSTOUR,1,Cliente 9,CAMIONETAS
