id_venta,Fecha,Cliente,Almacen,Producto,Cantidad_Vendida,Precio_Venta,Monto_Venta,Vendedor
1,2023-01-01,Cliente 12,SURCO,AUTO HONDA ACCORD 2014,1,29500.0,29500.0,Vendedor 2
2,2023-01-01,Cliente 44,SURCO,AUTO HONDA CIVIC 2014,1,30000.0,30000.0,Vendedor 4
3,2023-01-01,Cliente 8,LA MOLINA,AUTO HONDA ODISSEY 2013,1,27500.0,27500.0,Vendedor 10
4,2023-01-01,Cliente 38,SURCO,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 10
5,2023-01-01,Cliente 40,SURCO,AUTO HONDA PILOT 2013,1,16500.0,16500.0,Vendedor 2
6,2023-01-01,Cliente 43,LA MOLINA,AUTO HONDA FIT 2016,1,26000.0,26000.0,Vendedor 10
7,2023-01-01,Cliente 17,LA MOLINA,AUTO HONDA CITY 2016,1,29500.0,29500.0,Vendedor 4
8,2023-01-01,Cliente 16,LA MOLINA,CAMIONETA HONDA ELEMENT 2013,1,36000.0,36000.0,Vendedor 5
9,2023-01-01,Cliente 9,LA MOLINA,CAMIONETA HONDA CROSSTOUR 2013,1,34000.0,34000.0,Vendedor 5
10,2023-01-01,Cliente 21,LA MOLINA,CAMIONETA HONDA CR-Z 2015,1,31500.0,31500.0,Vendedor 2
11,2023-01-01,Cliente 30,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,1,37500.0,37500.0,Vendedor 10
12,2023-01-01,Cliente 35,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.3,100.3,Vendedor 4
13,2023-01-01,Cliente 9,LA MOLINA,FILTRO DE COMBUSTIBLE,1,136.1,136.1,Vendedor 6
14,2023-01-01,Cliente 24,SURCO,AMORTIGUADORES DELANTEROS,1,225.8,225.8,Vendedor 5
15,2023-01-01,Cliente 35,LA MOLINA,AMORTIGUADORES POSTERIORES,1,107.4,107.4,Vendedor 5
16,2023-01-01,Cliente 43,LA MOLINA,"LLANTAS 18""",1,78.9,78.9,Vendedor 2
17,2023-01-01,Cliente 17,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 2
18,2023-01-02,Cliente 48,SURCO,AUTO HONDA ACCORD 2014,1,29500.0,29500.0,Vendedor 9
19,2023-01-02,Cliente 18,SURCO,AUTO HONDA CIVIC 2014,1,30000.0,30000.0,Vendedor 5
20,2023-01-02,Cliente 46,SURCO,AUTO HONDA ODISSEY 2013,1,27500.0,27500.0,Vendedor 6
21,2023-01-02,Cliente 44,SURCO,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 5
22,2023-01-02,Cliente 17,LA MOLINA,AUTO HONDA PILOT 2013,1,16500.0,16500.0,Vendedor 1
23,2023-01-02,Cliente 41,SURCO,CAMIONETA HONDA ELEMENT 2013,1,36000.0,36000.0,Vendedor 7
24,2023-01-02,Cliente 3,LA MOLINA,CAMIONETA HONDA CROSSTOUR 2013,1,34000.0,34000.0,Vendedor 1
25,2023-01-02,Cliente 50,LA MOLINA,CAMIONETA HONDA CR-Z 2015,1,31500.0,31500.0,Vendedor 3
26,2023-01-02,Cliente 11,LA MOLINA,CAMIONETA HONDA RID LINE PICK UP 2014,1,37500.0,37500.0,Vendedor 8
27,2023-01-02,Cliente 8,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.3,401.2,Vendedor 2
