id_venta,fecha,id_cliente,id_almacen,id_producto,producto,cantidad,precio_venta,monto,id_vendedor
33,2023-01-01,40,1,6,AUTO HONDA FIT 2016,1,30359,30359,4
44,2023-01-01,138,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,46040,46040,1
100,2023-01-01,130,2,41,AMORTIGUADORES POSTERIORES,14,120,1680,1
1,2023-01-02,53,1,1,AUTO HONDA ACCORD 2014,1,35894,35894,3
10,2023-01-02,137,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,1
38,2023-01-02,158,1,8,CAMIONETA HONDA ELEMENT 2013,1,52453,52453,3
52,2023-01-02,35,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,57264,57264,3
29,2023-01-03,170,1,6,AUTO HONDA FIT 2016,1,30359,30359,3
99,2023-01-03,59,2,41,AMORTIGUADORES POSTERIORES,3,120,360,3
37,2023-01-04,161,1,7,AUTO HONDA CITY 2016,1,29758,29758,4
19,2023-01-05,137,1,5,AUTO HONDA PILOT 2013,1,21940,21940,4
42,2023-01-05,118,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,46040,46040,1
57,2023-01-07,112,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,16,100,1600,4
91,2023-01-07,33,2,41,AMORTIGUADORES POSTERIORES,15,120,1800,4
2,2023-01-09,151,1,1,AUTO HONDA ACCORD 2014,1,35894,35894,1
6,2023-01-09,93,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,1
49,2023-01-09,121,1,10,CAMIONETA HONDA CR-Z 2015,1,40128,40128,1
92,2023-01-09,147,2,41,AMORTIGUADORES POSTERIORES,1,120,120,1
104,2023-01-09,166,2,42,"LLANTAS 18""",11,68,748,3
54,2023-01-10,132,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,57264,57264,4
116,2023-01-10,128,1,43,BATERÍA DE 18 PLACAS,18,125,2250,4
15,2023-01-11,126,1,4,AUTO HONDA CRV 2014,1,31718,31718,1
20,2023-01-11,186,1,5,AUTO HONDA PILOT 2013,1,21940,21940,1
34,2023-01-11,56,1,7,AUTO HONDA CITY 2016,1,29758,29758,4
71,2023-01-11,171,2,40,AMORTIGUADORES DELANTEROS,11,248,2728,1
111,2023-01-12,161,2,42,"LLANTAS 18""",5,68,340,1
119,2023-01-12,55,1,43,BATERÍA DE 18 PLACAS,13,125,1625,3
11,2023-01-13,156,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,3
72,2023-01-13,195,2,40,AMORTIGUADORES DELANTEROS,18,248,4464,1
74,2023-01-13,148,2,40,AMORTIGUADORES DELANTEROS,15,248,3720,1
88,2023-01-13,185,2,40,AMORTIGUADORES DELANTEROS,2,248,496,2
5,2023-01-14,194,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,3
27,2023-01-14,199,1,6,AUTO HONDA FIT 2016,1,30359,30359,1
46,2023-01-14,32,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,46040,46040,3
62,2023-01-14,45,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,17,100,1700,4
94,2023-01-14,168,2,41,AMORTIGUADORES POSTERIORES,9,120,1080,1
109,2023-01-14,58,2,42,"LLANTAS 18""",6,68,408,3
36,2023-01-15,13,1,7,AUTO HONDA CITY 2016,1,29758,29758,3
48,2023-01-16,110,1,10,CAMIONETA HONDA CR-Z 2015,1,40128,40128,2
84,2023-01-16,92,2,40,AMORTIGUADORES DELANTEROS,10,248,2480,3
64,2023-01-17,28,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,16,100,1600,3
81,2023-01-18,60,2,40,AMORTIGUADORES DELANTEROS,13,248,3224,3
85,2023-01-18,88,2,40,AMORTIGUADORES DELANTEROS,8,248,1984,2
47,2023-01-19,170,1,10,CAMIONETA HONDA CR-Z 2015,1,40128,40128,3
59,2023-01-19,93,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,17,100,1700,3
30,2023-01-20,186,1,6,AUTO HONDA FIT 2016,1,30359,30359,4
96,2023-01-20,39,2,41,AMORTIGUADORES POSTERIORES,4,120,480,4
