id_venta,fecha,id_cliente,id_almacen,id_producto,producto,cantidad,precio_venta,monto,id_vendedor
1,2023-01-02,53,1,1,AUTO HONDA ACCORD 2014,1,35894,35894,3
2,2023-01-09,151,1,1,AUTO HONDA ACCORD 2014,1,35894,35894,1
3,2023-01-03,89,2,1,AUTO HONDA ACCORD 2014,1,35894,35894,4
4,2023-01-25,90,2,2,AUTO HONDA CIVIC 2014,1,23803,23803,4
5,2023-01-14,194,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,3
6,2023-01-09,93,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,1
7,2023-01-04,62,2,2,AUTO HONDA CIVIC 2014,1,23803,23803,4
8,2023-01-27,81,2,2,AUTO HONDA CIVIC 2014,1,23803,23803,2
9,2023-01-28,87,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,1
10,2023-01-02,137,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,1
11,2023-01-13,156,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,3
12,2023-01-18,76,2,4,AUTO HONDA CRV 2014,1,31718,31718,2
13,2023-01-18,88,2,4,AUTO HONDA CRV 2014,1,31718,31718,4
14,2023-01-11,115,2,4,AUTO HONDA CRV 2014,1,31718,31718,2
15,2023-01-11,126,1,4,AUTO HONDA CRV 2014,1,31718,31718,1
16,2023-01-28,188,2,4,AUTO HONDA CRV 2014,1,31718,31718,2
17,2023-01-02,170,2,4,AUTO HONDA CRV 2014,1,31718,31718,3
18,2023-01-06,171,2,4,AUTO HONDA CRV 2014,1,31718,31718,1
19,2023-01-05,137,1,5,AUTO HONDA PILOT 2013,1,21940,21940,4
20,2023-01-11,186,1,5,AUTO HONDA PILOT 2013,1,21940,21940,1
21,2023-01-18,153,2,5,AUTO HONDA PILOT 2013,1,21940,21940,3
22,2023-01-11,7,2,5,AUTO HONDA PILOT 2013,1,21940,21940,3
23,2023-01-23,141,1,5,AUTO HONDA PILOT 2013,1,21940,21940,2
24,2023-01-08,10,2,5,AUTO HONDA PILOT 2013,1,21940,21940,2
25,2023-01-06,31,2,5,AUTO HONDA PILOT 2013,1,21940,21940,2
26,2023-01-01,114,2,6,AUTO HONDA FIT 2016,1,30359,30359,3
27,2023-01-14,199,1,6,AUTO HONDA FIT 2016,1,30359,30359,1
28,2023-01-25,59,1,6,AUTO HONDA FIT 2016,1,30359,30359,1
29,2023-01-03,170,1,6,AUTO HONDA FIT 2016,1,30359,30359,3
30,2023-01-20,186,1,6,AUTO HONDA FIT 2016,1,30359,30359,4
31,2023-01-13,158,2,6,AUTO HONDA FIT 2016,1,30359,30359,3
32,2023-01-03,140,2,6,AUTO HONDA FIT 2016,1,30359,30359,2
33,2023-01-01,40,1,6,AUTO HONDA FIT 2016,1,30359,30359,4
34,2023-01-11,56,1,7,AUTO HONDA CITY 2016,1,29758,29758,4
35,2023-01-24,75,2,7,AUTO HONDA CITY 2016,1,29758,29758,3
36,2023-01-15,13,1,7,AUTO HONDA CITY 2016,1,29758,29758,3
37,2023-01-04,161,1,7,AUTO HONDA CITY 2016,1,29758,29758,4
38,2023-01-02,158,1,8,CAMIONETA HONDA ELEMENT 2013,1,52453,52453,3
39,2023-01-03,157,2,8,CAMIONETA HONDA ELEMENT 2013,1,52453,52453,1
40,2023-01-22,161,1,8,CAMIONETA HONDA ELEMENT 2013,1,52453,52453,3
41,2023-01-05,195,2,8,CAMIONETA HONDA ELEMENT 2013,1,52453,52453,2
42,2023-01-05,118,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,46040,46040,1
43,2023-01-26,164,2,9,CAMIONETA HONDA CROSSTOUR 2013,1,46040,46040,3
